step,train/loss,train/lr,train/volume_mean
1.0,51.89275360107422,0.0002,0.11968403309583664
2.0,28.713254928588867,0.0002,0.17344743013381958
3.0,8.651905059814453,0.0002,0.32330963015556335
4.0,5.7360076904296875,0.0002,0.4618047773838043
5.0,4.404476165771484,0.0002,0.6331197619438171
6.0,3.451063632965088,0.0002,0.7837353348731995
7.0,3.294429302215576,0.0002,0.7951052784919739
8.0,2.1548123359680176,0.0002,0.7073789834976196
9.0,2.396169662475586,0.0002,0.6764529347419739
10.0,2.9151949882507324,0.0002,0.6939545273780823
11.0,3.123505115509033,0.0002,0.7085568308830261
12.0,2.1350021362304688,0.0002,0.7376298308372498
13.0,2.4680140018463135,0.0002,0.681608259677887
14.0,2.399381399154663,0.0002,0.6894112229347229
15.0,2.3615915775299072,0.0002,0.7144556641578674
16.0,2.1598894596099854,0.0002,0.7345588803291321
17.0,2.1765687465667725,0.0002,0.7575594186782837
18.0,2.0075297355651855,0.0002,0.7544431090354919
19.0,2.4666080474853516,0.0002,0.7635785341262817
20.0,1.9547183513641357,0.0002,0.7872512936592102
21.0,1.9720975160598755,0.0002,0.7905949950218201
22.0,2.2131662368774414,0.0002,0.7886690497398376
23.0,1.810364842414856,0.0002,0.7784768342971802
24.0,2.5028324127197266,0.0002,0.740995466709137
25.0,2.52286434173584,0.0002,0.7622373700141907
26.0,2.487536907196045,0.0002,0.7509491443634033
27.0,2.3429460525512695,0.0002,0.75301593542099
28.0,2.566483497619629,0.0002,0.7697492837905884
29.0,2.817089557647705,0.0002,0.7605441212654114
30.0,1.7861469984054565,0.0002,0.7523585557937622
31.0,2.6019959449768066,0.0002,0.7232229113578796
32.0,2.8017067909240723,0.0002,0.7104153633117676
33.0,2.301806926727295,0.0002,0.7098233103752136
34.0,1.8075040578842163,0.0002,0.7132282853126526
35.0,2.2522804737091064,0.0002,0.7093097567558289
36.0,2.0796945095062256,0.0002,0.7077354788780212
37.0,2.0842576026916504,0.0002,0.7041519284248352
38.0,2.076990842819214,0.0002,0.692546010017395
39.0,2.1027073860168457,0.0002,0.6809374690055847
40.0,1.8867032527923584,0.0002,0.6828283071517944
41.0,2.44266676902771,0.0002,0.6927281618118286
42.0,2.1073055267333984,0.0002,0.7109140753746033
43.0,2.4099316596984863,0.0002,0.7039358019828796
44.0,1.502770185470581,0.0002,0.7107664346694946
45.0,2.0419068336486816,0.0002,0.7148082852363586
46.0,2.276334762573242,0.0002,0.6839913129806519
47.0,1.903355598449707,0.0002,0.7022836208343506
48.0,1.9527453184127808,0.0002,0.7006190419197083
49.0,1.7280397415161133,0.0002,0.7171361446380615
50.0,2.34344220161438,0.0002,0.7273608446121216
51.0,1.8223621845245361,0.0002,0.738696277141571
52.0,2.092787027359009,0.0002,0.7333624958992004
53.0,2.1231441497802734,0.0002,0.7336943745613098
54.0,2.2695178985595703,0.0002,0.7198461890220642
55.0,2.427840232849121,0.0002,0.7115167379379272
56.0,2.9024930000305176,0.0002,0.717373788356781
57.0,1.8511384725570679,0.0002,0.7318750619888306
58.0,1.697601556777954,0.0002,0.7206842303276062
59.0,2.035335063934326,0.0002,0.6987859606742859
60.0,2.059809684753418,0.0002,0.7062738537788391
61.0,2.396968364715576,0.0002,0.7215443253517151
62.0,1.5139694213867188,0.0002,0.719664454460144
63.0,2.0914158821105957,0.0002,0.7419415712356567
64.0,1.9314368963241577,0.0002,0.7307054400444031
65.0,2.524242877960205,0.0002,0.7304173707962036
66.0,2.036381721496582,0.0002,0.7038499712944031
67.0,2.1355528831481934,0.0002,0.7120586633682251
68.0,2.1632235050201416,0.0002,0.708326518535614
69.0,1.6414780616760254,0.0002,0.7270280122756958
70.0,1.76656174659729,0.0002,0.7209105491638184
